Category,Number of Records,Order Date,Sales Target,Segment
Office Supplies,1,01-01-2015,40,Home Office
Furniture,1,03-01-2015,795,Consumer
Office Supplies,1,04-01-2015,123,Consumer
Office Supplies,1,04-01-2015,38,Corporate
Office Supplies,1,05-01-2015,317,Home Office
Furniture,1,06-01-2015,298,Consumer
Furniture,1,07-01-2015,132,Corporate
Office Supplies,1,07-01-2015,5,Consumer
Office Supplies,1,07-01-2015,689,Corporate
Furniture,1,08-01-2015,1066,Consumer
Office Supplies,1,08-01-2015,122,Consumer
Office Supplies,1,10-01-2015,206,Corporate
Furniture,1,11-01-2015,1520,Consumer
Office Supplies,1,11-01-2015,279,Consumer
Furniture,1,12-01-2015,557,Corporate
Furniture,1,12-01-2015,316,Home Office
Office Supplies,1,12-01-2015,36,Consumer
Office Supplies,1,12-01-2015,243,Corporate
Technology,1,12-01-2015,480,Corporate
Office Supplies,1,13-01-2015,279,Consumer
Office Supplies,1,14-01-2015,211,Home Office
Technology,1,14-01-2015,925,Home Office
Furniture,1,15-01-2015,613,Home Office
Office Supplies,1,15-01-2015,434,Corporate
Technology,1,15-01-2015,579,Corporate
Office Supplies,1,17-01-2015,567,Corporate
Office Supplies,1,17-01-2015,15,Home Office
Office Supplies,1,18-01-2015,22,Consumer
Office Supplies,1,18-01-2015,96,Corporate
Office Supplies,1,19-01-2015,47,Corporate
Office Supplies,1,19-01-2015,195,Home Office
Office Supplies,1,20-01-2015,63,Consumer
Technology,1,21-01-2015,515,Consumer
Furniture,1,22-01-2015,751,Home Office
Office Supplies,1,22-01-2015,186,Corporate
Office Supplies,1,22-01-2015,1507,Home Office
Technology,1,22-01-2015,61,Corporate
Furniture,1,24-01-2015,125,Consumer
Office Supplies,1,24-01-2015,138,Consumer
Office Supplies,1,24-01-2015,12,Corporate
Office Supplies,1,24-01-2015,26,Home Office
Technology,1,24-01-2015,603,Corporate
Furniture,1,25-01-2015,21,Corporate
Office Supplies,1,25-01-2015,604,Consumer
Office Supplies,1,25-01-2015,130,Corporate
Furniture,1,26-01-2015,302,Consumer
Office Supplies,1,26-01-2015,856,Consumer
Technology,1,26-01-2015,87,Consumer
Technology,1,26-01-2015,502,Corporate
Office Supplies,1,28-01-2015,25,Consumer
Office Supplies,1,01-02-2015,108,Consumer
Office Supplies,1,01-02-2015,143,Corporate
Furniture,1,02-02-2015,1046,Consumer
Office Supplies,1,02-02-2015,197,Consumer
Office Supplies,1,02-02-2015,326,Corporate
Technology,1,02-02-2015,828,Consumer
Technology,1,02-02-2015,1800,Corporate
Office Supplies,1,03-02-2015,78,Home Office
Office Supplies,1,04-02-2015,147,Consumer
Office Supplies,1,04-02-2015,51,Home Office
Office Supplies,1,07-02-2015,175,Consumer
Office Supplies,1,07-02-2015,27,Corporate
Technology,1,07-02-2015,224,Consumer
Office Supplies,1,08-02-2015,119,Consumer
Office Supplies,1,08-02-2015,166,Corporate
Furniture,1,09-02-2015,514,Corporate
Furniture,1,09-02-2015,397,Home Office
Office Supplies,1,09-02-2015,222,Consumer
Office Supplies,1,09-02-2015,156,Corporate
Office Supplies,1,09-02-2015,311,Home Office
Furniture,1,10-02-2015,1458,Corporate
Office Supplies,1,10-02-2015,52,Consumer
Office Supplies,1,10-02-2015,33,Corporate
Office Supplies,1,10-02-2015,379,Home Office
Technology,1,10-02-2015,214,Consumer
Office Supplies,1,14-02-2015,37,Consumer
Furniture,1,15-02-2015,1010,Consumer
Furniture,1,15-02-2015,906,Corporate
Furniture,1,16-02-2015,4181,Corporate
